Rank,Priority Score,Category,FRN,Firm Name,Town,Postcode,Phone,Website,Adviser Count,Advises on Investments,Retail Clients,Manages Investments,Pension Transfers,Collective Investment Schemes,Life Policies,Professional Clients,Is AR,Principal FRN,Principal Name,Companies House Number,PIMFA Member,Has Disciplinary History,Data Confidence,Core Score,Fund Distribution Score,Firm Size Score,Multi Asset Cautious Fit,Multi Asset Income Fit,UK Equity Income Fit,Global Equity Fit,Corporate Bond Fit
1,84,ifa,604439,Enterprise Investment Partners LLP,London,EC2V 5BT,+442078430471,https://www.kin-group.com/,122,True,True,False,True,True,False,True,False,,,,False,False,0.5,30,20,20,84,89,84,74,79
2,79,ifa,149380,Cantor Fitzgerald Europe,London,EC2N 4AY,+4402078947000,www.cantor.com/global/europe/,950,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
3,79,ifa,464494,AES Financial Services Ltd,London,W1U 7NG,+442030517999,www.aesinternational.com,37,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
4,79,ifa,153871,Verso Wealth Management Limited,London,EC4N 6HL,+441513759848,www.versowm.com,90,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
5,79,ifa,169586,Waystone Financial Investments Limited,Leeds,LS1 4DL,+4403459220044,www.fundsolutions.net,106,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
6,79,ifa,197438,Ermin Fosse Financial Management LLP,Cirencester,GL7 2PP,+441285649200,www.erminfosse.co.uk,20,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
7,79,ifa,594155,CG Wealth Planning Limited,London,EC2V 7QR,+4402075234500,https://www.canaccord-wealth.com,201,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
8,79,ifa,114394,Ellis Bates Financial Solutions Limited,Harrogate,HG1 1JD,+4401423520052,https://www.ellisbates.com/,101,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
9,79,ifa,136414,Evelyn Partners Financial Planning Limited,London,EC2V 7BG,+442071314000,evelyn.com,1894,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
10,79,ifa,489702,Tritax Securities LLP,London,W1F 9QZ,+4402072901616,www.tritax.co.uk,16,True,True,False,True,True,False,True,False,,,,False,False,0.5,30,20,15,79,84,79,69,74
11,79,ifa,483315,Financial Relationships LLP,London,EC1A 2AY,+4402070027715,www.financialrelationships.co.uk,28,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
12,79,ifa,462728,Foster Denovo Limited,London,EC3R 8HL,+4402074692800,www.fosterdenovo.com,409,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
13,79,ifa,483868,Collins Sarri Statham Investments Limited,London,N10 3DU,+4402080576380,www.css-investments.com,36,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
14,79,ifa,178733,STIFEL EUROPE LIMITED,London,EC2V 6ET,+4402077107600,https://stifelinstitutional.com,212,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
15,79,ifa,115057,Gallagher (Administration & Investment) Limited,London,EC2V 7AF,+4402074291000,www.ajg.com/uk,198,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
16,79,ifa,432014,Prydis Wealth Limited,Exeter,EX5 1GB,+4401392432431,www.prydis.com,119,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
17,79,ifa,155593,AJ Bell Securities Limited,Salford,M5 3EE,+4403454089100,https://www.ajbell.co.uk/,159,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
18,79,ifa,409160,Affinity Financial Awareness Limited,Liverpool,L3 9SJ,+448000492011,www.affinityadvise.co.uk,346,True,True,False,True,False,True,False,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
19,79,ifa,138169,Pharon Independent Financial Advisers Limited,Canterbury,CT2 8GT,+4401227819824,www.pharon.co.uk,45,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
20,79,ifa,142484,Capita Pension Solutions Limited,London,W2 6BD,+4402077094500,https://www.capita.com/expertise/pensions,282,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
21,79,ifa,223112,Best Practice IFA Group Limited,Horsham,RH12 4QP,+441403334455,www.bestpractice.co.uk,1073,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
22,79,ifa,967142,Old Mill Financial Planning Limited,Somerset,BA20 1SH,+441935426181,www.om.uk,36,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
23,79,ifa,183210,Torevell & Partners Limited,Manchester,M2 3WQ,+4401612816400,www.torevellpartners.co.uk,23,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,79,84,79,69,74
24,76,ifa,582519,NFU Mutual Select Investments Limited,,CV37 7BJ,+441789204211,,351,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,20,76,81,76,66,71
25,74,ifa,805667,H & P Advisory Limited,London,W1G 9DQ,+442079078500,www.hannam.partners,77,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
26,74,ifa,822509,Onyx Capital Advisory Limited,London,SW7 4ES,+4402039812790,https://www.onyxcapitalgroup.com/,60,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
27,74,ifa,596682,Cambridge Mercantile Risk Management (UK) Ltd,London,EC2R 6DA,+4402070043939,https://www.corpay.com/en-GB,55,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
28,74,ifa,579310,Asset Match Limited,London,EC2M 1NH,+4402072482788,www.assetmatch.com,24,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
29,74,ifa,775330,RISKSAVE TECHNOLOGIES LTD,London,W2 6LG,+447964580528,https://risksave.com,97,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
30,74,ifa,650205,Crowdcube Capital Limited,London,EC2A 4LD,+441392241319,www.crowdcube.com,25,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
31,74,ifa,739104,TURNER POPE INVESTMENTS (TPI) LTD,London,W1J 5PA,+4402036570050,www.turnerpope.com,37,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
32,74,ifa,224621,Zeus Capital Limited,Manchester,M2 4WQ,+4401618311512,www.zeuscapital.co.uk,180,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
33,74,ifa,403721,Panmure Liberum Limited,London,EC2Y 9LY,+4402031002000,www.panmureliberum.com,635,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
34,74,ifa,189433,Gryphon Emerging Markets Limited,London,SW1Y 5ES,+4402072682070,www.gryphco.com,21,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
35,74,ifa,191657,PIPER SANDLER LTD.,London,EC2V 7AD,+4402077968400,http://www.pipersandler.com/,293,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
36,74,ifa,493877,Harbour Litigation Funding Ltd,London,SW1Y 6DN,+442038299320,www.harbourlitigationfunding.com,27,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
37,74,ifa,540892,Harris Williams & Co. Ltd,London,W1K 5JL,+442075188900,www.harriswilliams.com,65,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
38,74,ifa,446717,StoneX Financial Ltd,London,EC2Y 5ET,+442035806000,https://www.stonex.com,585,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
39,74,ifa,401042,Spayne Lindsay & Co. LLP,London,WC2N 5LR,+442078083240,https://spaynelindsay.com/,57,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
40,74,ifa,182762,SPARK Advisory Partners Limited,London,EC1M 4BH,+4402033683550,http://www.sparkadvisorypartners.com,30,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
41,74,ifa,222033,SW FINANCIAL PLANNING LIMITED,Ivybridge,PL21 9GD,+4401752205205,www.swlaw.co.uk,13,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,15,74,79,74,64,69
42,74,ifa,489839,Talbot Capital Ltd,London,EC4R 0EU,+442039830660,www.talbotcapital.co.uk,157,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
43,74,ifa,596952,Fenchurch Advisory Partners LLP,London,EC2N 4AY,+442073822222,www.fenchurchadvisory.com,75,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
44,74,ifa,171483,Fraser Finance Limited,London,SW1Y 5JG,+442079307797,www.fraserfinance.com,22,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
45,74,ifa,190780,FIRST GLOBAL (UK) LTD.,Harrow,HA2 7SE,+4402089044942,https://www.firstglobalsec.com/,18,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,15,74,79,74,64,69
46,74,ifa,622574,Dupoin UK Ltd,Manchester,M2 3AW,+441618832515,www.dupoin.co.uk,21,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
47,74,ifa,441316,Maxis Investments Ltd,London,EC2N 2AX,+442077263300,http://www.maxisinvestments.co.uk/,42,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
48,74,ifa,489795,Allenby Capital Limited,London,EC3A 6AB,+4402033285656,www.allenbycapital.com,88,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
49,74,ifa,433208,FOGWILL & JONES ASSET MANAGEMENT LIMITED,Sheffield,S8 0TB,+4401142588899,www.fogwillandjones.co.uk,16,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,15,74,79,74,64,69
50,74,ifa,115088,Michael Davey Financial Management Limited,London,EC2M 5UL,+4402075882378,www.mdfm.co.uk,12,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,15,74,79,74,64,69
51,74,ifa,194929,Stonehage Fleming Advisory Limited,London,SW1Y 4JU,+442070870000,www.stonehagefleming.com,55,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
52,74,ifa,525432,Abundance Investment Ltd,London,WC1H 9BB,+442034758666,www.abundanceinvestment.com,23,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
53,74,ifa,588633,Tier One Capital Wealth Management Limited,Newcastle upon Tyne,NE13 6DS,+4401912170007,www.tieronecapital.co.uk,16,True,True,False,True,False,True,True,False,,,,False,False,0.5,30,15,15,74,79,74,64,69
54,74,ifa,516932,S. P. Angel Corporate Finance LLP,London,W1S 2PP,+4402034700470,www.spangel.co.uk,92,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
55,74,ifa,453676,SINGER CAPITAL MARKETS SECURITIES LIMITED,London,EC2N 2AX,+4402074963000,www.singercm.com,400,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
56,74,ifa,456804,ALBR CAPITAL LIMITED,London,EC2V 6EE,+4402073999400,www.albrcapital.com,71,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
57,74,ifa,144822,Numis Securities Limited,London,EC2Y 9DB,+4402072601000,www.dbnumis.com,695,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
58,74,ifa,542574,OANDA Europe Limited,London,EC2M 1QS,+4402071011600,www.oanda.com,42,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
59,74,ifa,189495,CAPITAL PLUS PARTNERS LIMITED,London,SW1A 1JT,+447799888544,www.capplus.co.uk,36,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
60,74,ifa,431844,Caxton Payments Limited,London,E1 8FA,+4403331231815,www.caxton.io,29,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
61,74,ifa,516496,Ashberg Limited,London,W1H 6DU,+442037451320,www.ashbergmfo.com,63,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
62,74,ifa,514725,Chrystal Capital Partners LLP,London,W1J 8NR,+4402078504760,www.chrystalcapital.com,34,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
63,74,ifa,179391,Clarksons Futures Limited,London,E1W 1BF,+4402073340000,www.clarksons.com,204,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
64,74,ifa,180770,Aurum Funds Limited,London,W1T 4DF,+4402075891130,www.aurumfunds.com,52,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
65,74,ifa,184753,Beaumont Cornish Limited,London,W1J 8BA,+442076283396,www.b-cornish.co.uk,29,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
66,74,ifa,175853,Daiwa Corporate Advisory Limited,London,EC4N 7DA,+4402078560999,www.dcadvisory.com,540,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
67,74,ifa,198042,Moore Kingston Smith Corporate Finance Limited,London,EC2A 2AP,+4402075663588,https://mooreks.co.uk/,40,True,True,False,True,False,False,True,False,,,,False,False,0.5,30,10,20,74,79,74,64,69
