rank,priority_score,firm_name,frn,size_tier,adviser_count,total_reviews,top_rated_advisers,adviser_types,phone,postcode,website,cities_count,data_confidence,size_score,permission_score,distribution_score,top_mandate_category,top_mandate_score,fca_status,companies_house,fca_enriched,advises_retail,pension_transfers,manages_investments
1,74.5,Ascot Lloyd,578614,tier_1,50,6776,47,ifa,+4403454757500,W1W 8AP,www.ascotlloyd.co.uk,25,1.0,85,90,55,multi_asset_cautious,40,Authorised,07584487,True,True,True,False
2,72.5,True Potential Wealth Management LLP,529810,tier_1,74,6208,41,fa_restricted,+4401914061526,NE15 8NX,www.tpllp.com,52,1.0,85,90,45,multi_asset_cautious,35,Authorised,OC356611,True,True,True,False
3,71.5,Shackleton Advisers Limited,163291,tier_1,41,2872,40,ifa,+4401273204999,WC1A 2BA,www.shackletonadvisers.co.uk,14,1.0,70,100,55,multi_asset_cautious,40,Authorised,04129116,True,True,True,True
4,68.5,Fidelius Ltd,188615,tier_1,28,2445,26,ifa|mortgage_adviser,+4403452416500,BA2 3GZ,www.fidelius.co.uk,14,1.0,70,90,55,multi_asset_cautious,40,Authorised,03658809,True,True,True,False
5,63.3,Intelligent Pensions Ltd,186250,tier_2,11,606,11,ifa,+4401412261710,G2 6BZ,www.intelligentpensions.com,10,1.0,57,90,55,multi_asset_cautious,40,Authorised,SC107284,True,True,True,False
6,62.1,2plan wealth management Limited,461598,tier_2,13,777,6,ifa,+4401133021360,LS11 5BZ,www.2plan.com,12,1.0,54,90,55,multi_asset_cautious,40,Authorised,05998270,True,True,True,False
7,59.8,AAB Wealth Chartered Financial Planners,608548,tier_2,13,588,9,ifa,+441224625111,LS1 2JG,www.aabwealth.uk,5,1.0,50,90,48,multi_asset_cautious,40,Authorised,SC386504,True,True,True,False
8,58.2,Flying Colours Advice Limited,672022,tier_2,16,461,7,ifa,+443332419900,RG12 2AA,www.fcadvice.co.uk,6,1.0,46,90,48,multi_asset_cautious,40,Authorised,09075635,True,True,True,False
9,56.9,Quilter Financial Advisers Ltd,,tier_1,57,2210,44,fa_restricted|ifa,02381159951,,,32,0.38,76,60,25,multi_asset_cautious,30,,,False,,,
10,56.8,Amber River Shipman Wealth,456896,tier_3,9,163,1,ifa,+448081754433,EX5 2FN,www.amberriver.com/sw,3,1.0,35,100,48,multi_asset_cautious,40,Authorised,02837635,True,True,True,True
11,55.9,One Financial Solutions,607130,tier_2,25,1933,21,ifa|mortgage_adviser,+4401372940640,RH2 9HZ,www.onefinancialsolutions.co.uk,18,0.88,66,60,55,multi_asset_cautious,30,Appointed representative,08141263,True,,,
12,55.8,Radiant Financial Planning Ltd,192396,tier_3,5,189,4,ifa,+441858469910,LE16 7QU,http://www.radiantfinancial.co.uk/,5,1.0,40,90,48,multi_asset_cautious,40,Authorised,03916451,True,True,True,False
