rank,priority_score,firm_name,frn,size_tier,adviser_count,total_reviews,top_rated_advisers,adviser_types,phone,postcode,website,cities_count,data_confidence,size_score,permission_score,distribution_score,top_mandate_category,top_mandate_score,fca_status,companies_house,fca_enriched,advises_retail,pension_transfers,manages_investments
1,62.5,Ascot Lloyd,578614,tier_1,50,6776,47,ifa,+4403454757500,W1W 8AP,www.ascotlloyd.co.uk,25,0.62,85,60,45,multi_asset_cautious,30,Authorised,07584487,True,True,True,False
2,60.9,Quilter Financial Advisers Ltd,452529,tier_1,57,2210,44,fa_restricted|ifa,+448008491279,EC4V 4AB,https://www.quilterfinancialadvisers.co.uk/,32,0.62,81,60,45,multi_asset_cautious,30,Appointed representative,05693185,False,,,
3,60.5,True Potential Wealth Management LLP,529810,tier_1,74,6208,41,fa_restricted,+4401914061526,NE15 8NX,www.tpllp.com,52,0.62,85,60,35,multi_asset_cautious,25,Authorised,OC356611,True,True,True,False
4,59.5,Shackleton Advisers Limited,163291,tier_1,41,2872,40,ifa,+4401273204999,EC3V 0BT,www.shackletonadvisers.co.uk,14,0.62,70,70,45,multi_asset_cautious,30,Authorised,04129116,True,True,True,True
5,59.5,Forvis Mazars Financial Planning Limited,182644,tier_1,32,2317,25,ifa,+4402070634000,EC4M 7AU,www.forvismazars.com/uk/en,13,0.62,70,70,45,multi_asset_cautious,30,Authorised,03172233,True,True,True,True
6,56.5,Fidelius Ltd,188615,tier_1,28,2445,26,ifa|mortgage_adviser,+4403452416500,BA2 3GZ,www.fidelius.co.uk,14,0.62,70,60,45,multi_asset_cautious,30,Authorised,03658809,True,True,True,False
7,54.9,Argentis Wealth Management,,tier_1,68,4215,49,fa_restricted|ifa,02381159951,,,18,0.25,71,60,25,multi_asset_cautious,30,Assumed Authorised,,False,,,
8,54.9,One Financial Solutions,607130,tier_2,25,1933,21,ifa|mortgage_adviser,+4401372940640,RH2 9HZ,www.onefinancialsolutions.co.uk,18,0.62,66,60,45,multi_asset_cautious,30,Appointed representative,08141263,False,,,
9,54.1,The Private Office,,tier_2,48,5407,42,ifa,03300388942,,,19,0.25,69,60,25,multi_asset_cautious,30,Assumed Authorised,,False,,,
10,52.5,Attivo Financial Ltd,,tier_2,39,2347,38,ifa,03300388942,,,15,0.25,65,60,25,multi_asset_cautious,30,Assumed Authorised,,False,,,
11,51.7,AFH Wealth Management,,tier_2,34,1679,18,ifa,03300388942,,,26,0.25,63,60,25,multi_asset_cautious,30,Assumed Authorised,,False,,,
12,51.3,INTELLIGENT PENSIONS LIMITED,186250,tier_2,11,606,11,ifa,+4401412261710,G2 6BZ,www.intelligentpensions.com,10,0.62,57,60,45,multi_asset_cautious,30,Authorised,SC107284,True,True,True,False
13,51.0,JUPITER INVESTMENT MANAGEMENT LIMITED,171847,tier_2,436,0,0,,+442038171000,SW1E 6SQ,http://www.jupiteram.com/,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,02949554,True,True,True,True
14,51.0,Julius Baer International Limited,139179,tier_2,425,0,0,,+442034818100,EC1N 8SS,https://www.juliusbaer.com/uk/en/,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,01120330,True,True,True,True
15,51.0,Capital International Limited,119193,tier_2,416,0,0,,+442078645000,W2 1GL,www.capitalgroup.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,01613098,True,True,True,True
16,51.0,Foresight Group LLP,198020,tier_2,402,0,0,,+4402036678100,SE1 9SG,www.foresightgroup.eu,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,OC300878,True,True,True,True
17,51.0,ST. JAMES'S PLACE INVESTMENT MANAGEMENT LIMITED,155241,tier_2,369,0,0,,+4401179330000,BS32 4AQ,www.rowan-dartington.co.uk,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,02752304,True,True,True,True
18,51.0,Fisher Investments Europe Limited,191609,tier_2,367,0,0,,+4408001444731,E14 5AX,https://www.fisherinvestments.com/en-gb,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,03850593,True,True,True,True
19,51.0,Franklin Templeton Investment Management Limited,121779,tier_2,366,0,0,,+442070738500,EC4N 6HL,www.franklintempleton.co.uk,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,01902009,True,True,True,True
20,51.0,Newton Investment Management Limited,119331,tier_2,352,0,0,,+442071639000,EC4V 4LA,www.newtonim.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,01371973,True,True,True,True
21,51.0,BNY Mellon Investment Management EMEA Limited,119196,tier_2,328,0,0,,+4402071635566,EC4V 4LA,www.bny.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,01118580,True,True,True,True
22,51.0,Brooks Macdonald Asset Management Limited,184918,tier_2,327,0,0,,+4402074996424,EC3A 2BJ,www.brooksmacdonald.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,03417519,True,True,True,True
23,51.0,Interactive Investor Services Limited,141282,tier_2,312,0,0,,+443456076001,M3 3NW,www.ii.co.uk,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,02101863,True,True,True,True
24,51.0,"Union Bancaire Privee, UBP SA",147562,tier_2,300,0,0,,+4402073691350,W1H 6BN,https://www.ubp.com/en/contact/our-offices/ubp-london,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,FC015816,True,True,True,True
25,51.0,CLEARBRIDGE INVESTMENT MANAGEMENT LIMITED,119289,tier_2,286,0,0,,+441312295252,EH3 8BH,www.clearbridgeinvestments.co.uk,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,SC066107,True,True,True,True
26,51.0,"ARBUTHNOT LATHAM & CO., LIMITED",143336,tier_2,286,0,0,,+442070122500,EC2M 7EA,www.arbuthnotlatham.co.uk,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,00819519,True,True,True,True
27,51.0,Octopus Investments Limited,194779,tier_2,286,0,0,,+4408003162295,EC1N 2HT,https://octopusinvestments.com/,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,03942880,True,True,True,True
28,51.0,AXA Investment Managers GS Limited,188523,tier_2,252,0,0,,+442070031000,EC2N 4BQ,www.axa-im.co.uk,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,03601496,True,True,True,True
29,51.0,BELLECAPITAL UK LIMITED,140948,tier_2,219,0,0,,+442070723180,W1J 8ED,www.bellecapital.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,02123174,True,True,True,True
30,51.0,HANDELSBANKEN WEALTH & ASSET MANAGEMENT LIMITED,197340,tier_2,219,0,0,,+4402070451320,EC2V 5HA,wealthandasset.handelsbanken.co.uk,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,04132340,True,True,True,True
31,51.0,Schroder Real Estate Investment Management Limited,190064,tier_2,217,0,0,,+4402076586000,EC2Y 5AU,www.schroders.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,01188240,True,True,True,True
32,51.0,SEI Investments (Europe) Ltd,191713,tier_2,213,0,0,,+442038108000,EC2A 1AH,www.seic.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,03765319,True,True,True,True
33,51.0,Stonehage Fleming Investment Management Limited,194382,tier_2,182,0,0,,+442070870000,SW1Y 4JU,www.stonehagefleming.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,04027720,True,True,True,True
34,51.0,KUWAIT FINANCE HOUSE PLC,131818,tier_2,171,0,0,,+4402074876500,W1H 6LR,www.uk.kfh.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,00877859,True,True,True,True
35,51.0,Ecclesiastical Life Limited,110318,tier_2,167,0,0,,+4403457773322,GL3 4AW,www.ecclesiastical.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,00243111,True,True,True,True
36,51.0,W1M Investment Management Limited,116404,tier_2,166,0,0,,+442074847496,SW1Y 6AH,www.w1m.com,0,0.5,45,90,20,multi_asset_cautious,20,Authorised,02042285,True,True,True,True
