FRN,Firm Name,Type,Type Source,Status,City,Postcode,Phone,Website,Companies House,Adviser Count,Reviews,Top Rated,Adviser Types,Cities Count,In Ground Truth,In VouchedFor
,17 Wealth Management,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388939,,,1,276,1,ifa,1,False,True
,1894 Private Wealth,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,1,96,1,fa_restricted,1,False,True
,2 Plan Wealth Management Limited,ifa,VOUCHEDFOR,Assumed Authorised,,,01162389773,,,1,19,1,ifa,1,False,True
,2020 Financial Advice,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388939,,,1,40,1,ifa,1,False,True
461598,2plan wealth management Limited,ifa,VOUCHEDFOR,Authorised,Leeds,LS11 5BZ,+4401133021360,www.2plan.com,05998270,13,777,6,ifa,12,False,True
0161219,3-S Financial Management,ifa,VOUCHEDFOR,Authorised,,M2 1DH,01612198546,,,1,35,,ifa,1,False,True
,360 Financial Services,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,37,1,ifa,1,False,True
,365ifa,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,1,117,1,ifa,1,False,True
,3D Financial Planning,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388939,,,2,176,2,ifa,1,False,True
,3R Financial Services Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,2,433,,ifa,1,False,True
195262,3i Investments Plc,institution,FCA_PERMISSIONS,Authorised,London,SW1X 7LX,+4402079753131,www.3i.com,03975789,,,,,0,True,False
566220,55 Plus,ifa,VOUCHEDFOR,Authorised,Tunbridge Wells,TN2 3QP,+4401892458780,www.55plus.co.uk,05941708,1,80,1,equity_release_whole_of_market,1,False,True
,55Plus Equity Release,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388941,,,2,183,2,equity_release_whole_of_market,2,False,True
,57 North Financial Planning,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,2,116,2,ifa,1,False,True
,7FP,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,1,96,1,ifa,1,False,True
187094,7IM,ifa,GUESSED_DEFAULT,Authorised,London,EC3R 7NQ,,https://www.7im.co.uk,,,,,,0,True,False
958869,8 Financial Planning Limited,ifa,VOUCHEDFOR,Authorised,Shropshire,TF1 6QJ,+441952442088,www.8fp.co.uk,13162956,1,83,1,ifa,1,False,True
,88 Capital Wealth Management,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388941,,,1,84,1,ifa,1,False,True
154371,A J BUCKLEY ASSET MANAGEMENT LIMITED,institution,FCA_PERMISSIONS,Authorised,Alresford,SO24 9EE,+4401428774070,www.ajbwealth.co.uk,02730015,,,,,0,True,False
,A S Financial,ifa,VOUCHEDFOR,Assumed Authorised,,,02081668476,,,7,978,5,mortgage_adviser,1,False,True
,A S Wealth Management,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388941,,,1,76,1,fa_restricted,1,False,True
126350,A. G. Shackcloth and Company,ifa,FCA_PERMISSIONS,Authorised,Leighton Buzzard,LU7 1BX,+4401525753313,,,,,,,0,True,False
191874,A.J. Wealth Management Limited,ifa,FCA_PERMISSIONS,Authorised,Wolverhampton,WV6 8QS,+4401902742921,www.ajwealthmanagement.co.uk,03949662,,,,,0,True,False
144985,A.S.J. Financial Services Limited,ifa,FCA_PERMISSIONS,Authorised,Solihull,B92 7RP,+4401217644747,,02337876,,,,,0,True,False
608548,AAB Wealth Chartered Financial Planners,ifa,VOUCHEDFOR,Authorised,Aberdeen,LS1 2JG,+441224625111,www.aabwealth.uk,SC386504,13,588,9,ifa,5,False,True
,AAG Wealth Management,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388939,,,2,108,1,fa_restricted,1,False,True
149025,ABC International Bank Plc,ifa,FCA_PERMISSIONS,Authorised,London,EC2R 6AB,+4402037654033,https://www.bank-abc.com,02564490,,,,,0,True,False
188796,ABERDEEN PLATFORM LIMITED,ifa,FCA_PERMISSIONS,Authorised,Edinburgh,EH12 9JQ,+441313727298,www.aberdeenadviser.com,SC180203,,,,,0,True,False
150285,ABS Financial Planning Limited,ifa,FCA_PERMISSIONS,Authorised,Southampton,SO17 2NJ,+4402380333099,www.absfinancial.co.uk,02658254,,,,,0,True,False
,AC Wealth (Aberdein Considine Wealth Limited),ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,5,57,1,ifa,4,False,True
,ADH Wealth Management,ifa,VOUCHEDFOR,Assumed Authorised,,,01312680409,,,1,78,1,fa_restricted,1,False,True
148474,ADM Investor Services International Limited,institution,FCA_PERMISSIONS,Authorised,London,EC3R 7AG,+4402077168161,www.admisi.com,02547805,,,,,0,True,False
161768,ADVENT INTERNATIONAL LTD,ifa,FCA_PERMISSIONS,Authorised,London,SW1E 5LB,+4402073330800,www.adventinternational.com,02342186,,,,,0,True,False
190181,ADVISER BUSINESS SOLUTIONS LIMITED,ifa,FCA_PERMISSIONS,Authorised,Emsworth,PO10 7BT,+441243432430,http://ifsnet.co.uk/,03749669,,,,,0,True,False
464494,AES INTERNATIONAL,ifa,VOUCHEDFOR,See full details,London,W1U 7NG,+442030517999,www.aesinternational.com,06063185,1,40,,fa_restricted,1,False,True
165386,AFFINIA LIMITED,ifa,FCA_PERMISSIONS,Authorised,Colchester,CO1 1TG,+4401206867551,https://www.affinia.co.uk/,02796741,,,,,0,True,False
173259,AFFLUENT FINANCIAL PLANNING LTD.,ifa,FCA_PERMISSIONS,Authorised,Bridge Of Weir,PA11 3AA,+4401505595060,www.affluentfp.co.uk,SC161571,,,,,0,True,False
,AFH Wealth Management,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,34,1679,18,ifa,26,False,True
,AFH Wealth Management Cookham,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,6,311,1,ifa,6,False,True
,AFH Wealth Management Nantwich,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,2,134,,ifa,1,False,True
189431,AFRY Capital Limited,ifa,FCA_PERMISSIONS,Authorised,London,SW1P 3JA,+442074794000,www.afrycapital.com,03639550,,,,,0,True,False
196880,AFS Limited,ifa,FCA_PERMISSIONS,Authorised,Chesterfield,S40 1LH,+4401246293858,www.afs-online.co.uk,04238410,,,,,0,True,False
496257,AGILITY Financial Advisers,ifa,VOUCHEDFOR,Authorised,Amersham,HP12 3PR,+4401494680848,www.agilityfinancial.co.uk,06785682,1,39,1,ifa,1,False,True
,AGW Financial Planning Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388941,,,1,67,1,fa_restricted,1,False,True
122088,AIB GROUP (UK) P.L.C.,ifa,FCA_PERMISSIONS,Authorised,Belfast,BT1 3HH,+443456005925,aibgb.co.uk,NI018800,,,,,0,True,False
189652,AISA FINANCIAL PLANNING LIMITED,ifa,FCA_PERMISSIONS,Authorised,Devizes,SN10 3LP,+4401672569111,www.aisagroup.org,03621676,,,,,0,True,False
155593,AJ Bell Securities Limited,platform,FCA_PERMISSIONS,Authorised,Salford,M5 3EE,+4403454089100,https://www.ajbell.co.uk/,02723420,,,,,0,True,False
,AJG Wealth Management Limited,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,1,27,,fa_restricted,1,False,True
122428,ALDER INVESTMENT MANAGEMENT LIMITED,institution,FCA_PERMISSIONS,Authorised,London,EC2V 8AE,+442076016200,www.alder-investment.co.uk,02123798,,,,,0,True,False
181163,ALFRED HENRY CORPORATE FINANCE LIMITED,ifa,FCA_PERMISSIONS,Authorised,London,EC4A 3DG,+4402037720021,www.alfredhenry.com,03214944,,,,,0,True,False
,ALLISONS FINANCIAL PLANNING LTD,ifa,VOUCHEDFOR,Assumed Authorised,,,01513537186,,,1,178,1,ifa,1,False,True
113946,AMALGAMATED METAL TRADING LIMITED,ifa,FCA_PERMISSIONS,Authorised,London,EC2N 4AY,+442076264521,www.amt.co.uk,00156938,,,,,0,True,False
196671,AMBER RIVER CHANCERY LTD,ifa,FCA_PERMISSIONS,Authorised,London,EC4Y 1BP,+4402072423336,https://amberriver.com/offices/amber-river-chancery/,04226301,,,,,0,True,False
122084,AMOVA ASSET MANAGEMENT UK LIMITED,institution,FCA_PERMISSIONS,Authorised,London,EC4R 1BN,+4402037021005,https://emea.amova-am.com,01803699,,,,,0,True,False
165172,AMR Financial Management Limited,institution,FCA_PERMISSIONS,Authorised,Harpenden,AL5 3QE,+441582461588,www.amrinvest.co.uk,02753393,,,,,0,True,False
,AMR Wealth Management Limited,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,1,5,,fa_restricted,1,False,True
146311,AMT Futures Limited,institution,FCA_PERMISSIONS,Authorised,London,EC2N 4AY,+4402074665665,www.amtfutures.co.uk,00696733,,,,,0,True,False
,AMW Wealth,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,1,60,1,fa_restricted,1,False,True
,AP Mortgages,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388941,,,1,65,1,mortgage_limited,1,False,True
,AP Partners Wealth Management,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,1,60,1,fa_restricted,1,False,True
,APG Wealth Management,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,1,58,,ifa,1,False,True
937373,ARBORHEATH LIMITED,ifa,VOUCHEDFOR,Authorised,Berkshire,RG26 3DZ,+4407867508539,www.arborheath.co.uk,12842362,1,169,1,ifa,1,False,True
143336,"ARBUTHNOT LATHAM & CO., LIMITED",institution,FCA_PERMISSIONS,Authorised,London,EC2M 7EA,+442070122500,www.arbuthnotlatham.co.uk,00819519,,,,,0,True,False
191291,ARCIS Capital Limited,ifa,FCA_PERMISSIONS,Authorised,London,SW1A 1LP,+442074942110,www.arcisgroup.com,03357626,,,,,0,True,False
185561,ARGYLE CONSULTING LIMITED,ifa,FCA_PERMISSIONS,Authorised,Glasgow,G2 5QY,+4401415724000,www.argyleconsulting.co.uk,SC179496,,,,,0,True,False
135910,ART Holdings Limited,ifa,FCA_PERMISSIONS,Authorised,London,SW19 1SD,+4402085436244,www.mfs-group.co.uk,02024206,,,,,0,True,False
144519,ASCOT LLOYD FINANCIAL PLANNING LIMITED,ifa,FCA_PERMISSIONS,Authorised,Birmingham,B3 2RT,+4403454757500,,01447544,2,91,1,fa_restricted,2,True,True
,ASG Wealth partner of M&G Advice,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,1,5,,fa_restricted,1,False,True
195915,ASSURED GUARANTY FINANCE OVERSEAS LTD.,ifa,FCA_PERMISSIONS,Authorised,London,EC3A 7BA,+4402075621900,https://assuredguaranty.com/,04031467,,,,,0,True,False
182032,AV Trinity Limited,ifa,FCA_PERMISSIONS,Authorised,Tunbridge Wells,TN4 8BS,+4401892612500,www.avtrinity.com,02012267,,,,,0,True,False
,AWS Financial Solutions LTD,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,1,82,,mortgage_adviser,1,False,True
119368,AXA INVESTMENT MANAGERS UK LIMITED,institution,FCA_PERMISSIONS,Authorised,London,EC2N 4BQ,+442070031000,www.axa-im.co.uk,01431068,,,,,0,True,False
188523,AXA Investment Managers GS Limited,institution,FCA_PERMISSIONS,Authorised,London,EC2N 4BQ,+442070031000,www.axa-im.co.uk,03601496,,,,,0,True,False
,Aaraltis Financial Planning,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388939,,,1,3,,fa_restricted,1,False,True
,Abacus Associates Financial Services,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,5,176,3,ifa,5,False,True
,Abacus Associates Financial Services Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,59,1,ifa,1,False,True
125177,Abacus Wealth Planning Ltd,ifa,FCA_PERMISSIONS,Authorised,Brentwood,CM14 4DB,+4401277219594,www.abacuswealthplanning.com,02061670,,,,,0,True,False
658039,Abbotstone Financial Solutions LLP,ifa,VOUCHEDFOR,Appointed representative,Fareham,PO16 7JE,+447714202554,,OC396007,2,218,1,ifa,2,False,True
146788,Aberforth Unit Trust Managers Ltd,ifa,FCA_PERMISSIONS,Authorised,Edinburgh,EH3 7NS,+4401312200733,www.aberforth.co.uk,SC124771,,,,,0,True,False
574544,Ablestoke Financial Planning LLP,ifa,VOUCHEDFOR,Appointed representative,London,EC4A 4AB,+442034100260,www.ablestoke.com,OC367708,6,283,3,fa_restricted|mortgage_limited,2,False,True
,Abrey Private Clients LLP,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388940,,,1,142,1,fa_restricted,1,False,True
,Acacia Wealth,ifa,VOUCHEDFOR,Assumed Authorised,,,02035446810,,,1,57,1,ifa,1,False,True
150188,Access Wealth Management,ifa,FCA_PERMISSIONS,Authorised,Hexham,NE46 4TU,+4401661853838,accesswm.co.uk,,,,,,0,True,False
,Accession,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388942,,,3,158,3,fa_restricted,1,False,True
1039109,Accolade Financial Planning,ifa,VOUCHEDFOR,Appointed representative,Burgess Hill,RH15 9LR,+4407341851631,www.accoladefp.co.uk,16460004,1,19,1,fa_restricted,1,False,True
,Accomplished Financial Solutions Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,01164489290,,,1,33,1,ifa,1,False,True
513673,Achieve Financial Planning Ltd,ifa,VOUCHEDFOR,Authorised,Inverness,IV1 1LP,+4401463630631,www.achievefp.com,SC367766,1,37,,ifa,1,False,True
,Active Chartered Financial Planners,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,1,77,,ifa,1,False,True
,Active Financial Partners,ifa,VOUCHEDFOR,Assumed Authorised,,,02381159951,,,6,101,1,ifa,3,False,True
193065,Active Financial Planners Limited,ifa,FCA_PERMISSIONS,Authorised,Stockton On Tees,TS17 9LR,+441642765957,www.activefinancialplanners.co.uk,04039863,,,,,0,True,False
125581,Active Investment Managers Limited,ifa,FCA_PERMISSIONS,Authorised,Hull,HU10 6LX,+4401482659364,www.morgan-williams.co.uk,02140781,,,,,0,True,False
194479,Acton Financial Management,ifa,FCA_PERMISSIONS,Authorised,Wrexham,LL11 6DW,+447707707877,www.actonifa.com,,,,,,0,True,False
,Acumen Financial Partnership Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,01513537186,,,2,206,1,ifa,2,False,True
218745,Acumen Financial Planning,ifa,VOUCHEDFOR,Authorised,Westhill,EH3 7TH,+441224392350,www.acumenfp.com,SC215343,4,96,1,ifa,2,False,True
,Acumen Investment and Pension Solutions,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388941,,,1,37,1,ifa,1,False,True
,Adam Sinclair & Associates Wealth Management Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,01224228120,,,1,74,1,fa_restricted,1,False,True
148526,Adam Smith Limited,ifa,FCA_PERMISSIONS,Authorised,Lasswade,EH18 1AW,+4407791900616,www.adamsmith.com,SC116109,,,,,0,True,False
1017367,Adams & Poole Financial Services Ltd,ifa,VOUCHEDFOR,Appointed representative,Uttoxeter,ST14 8AZ,+443335774452,adamsandpoolefs.co.uk,15565616,2,23,,fa_restricted,2,False,True
,Adamson Ross WM Ltd,ifa,VOUCHEDFOR,Assumed Authorised,,,03300388938,,,2,92,1,fa_restricted,1,False,True
