rank,priority_score,firm_name,frn,size_tier,adviser_count,total_reviews,top_rated_advisers,adviser_types,phone,postcode,website,cities_count,data_confidence,size_score,permission_score,distribution_score,top_mandate_category,top_mandate_score,fca_status,companies_house,fca_enriched,advises_retail,pension_transfers,manages_investments
1,74.5,Ascot Lloyd,578614,tier_1,50,6776,47,ifa,+4403454757500,W1W 8AP,www.ascotlloyd.co.uk,25,1.0,85,90,55,multi_asset_cautious,40,Authorised,07584487,True,True,True,False
2,72.5,True Potential Wealth Management LLP,529810,tier_1,74,6208,41,fa_restricted,+4401914061526,NE15 8NX,www.tpllp.com,52,1.0,85,90,45,multi_asset_cautious,35,Authorised,OC356611,True,True,True,False
3,71.5,Shackleton Advisers Limited,163291,tier_1,41,2872,40,ifa,+4401273204999,WC1A 2BA,www.shackletonadvisers.co.uk,14,1.0,70,100,55,multi_asset_cautious,40,Authorised,04129116,True,True,True,True
4,71.5,Forvis Mazars,182644,tier_1,32,2317,25,ifa,+4402070634000,EC4M 7AU,www.forvismazars.com/uk/en,13,1.0,70,100,55,multi_asset_cautious,40,Authorised,03172233,True,True,True,True
5,68.5,Fidelius Ltd,188615,tier_1,28,2445,26,ifa|mortgage_adviser,+4403452416500,BA2 3GZ,www.fidelius.co.uk,14,1.0,70,90,55,multi_asset_cautious,40,Authorised,03658809,True,True,True,False
6,63.3,Intelligent Pensions Ltd,186250,tier_2,11,606,11,ifa,+4401412261710,G2 6BZ,www.intelligentpensions.com,10,1.0,57,90,55,multi_asset_cautious,40,Authorised,SC107284,True,True,True,False
7,62.1,2plan wealth management Limited,461598,tier_2,13,777,6,ifa,+4401133021360,LS11 5BZ,www.2plan.com,12,1.0,54,90,55,multi_asset_cautious,40,Authorised,05998270,True,True,True,False
8,61.9,Quilter Financial Advisers Ltd,452529,tier_1,57,2210,44,fa_restricted|ifa,+448008491279,EC4V 4AB,https://www.quilterfinancialadvisers.co.uk/,32,0.88,81,60,55,multi_asset_cautious,30,Appointed representative,05693185,True,,,
9,60.6,MKC Wealth,966731,tier_1,40,2441,29,ifa,+447494062943,EC3N 4AH,www.mkc-invest.com,12,1.0,70,65,55,multi_asset_growth,38,Authorised,13475203,True,True,False,True
10,59.8,AAB Wealth Chartered Financial Planners,608548,tier_2,13,588,9,ifa,+441224625111,LS1 2JG,www.aabwealth.uk,5,1.0,50,90,48,multi_asset_cautious,40,Authorised,SC386504,True,True,True,False
11,59.2,Clarity Wealth Management,185468,tier_3,8,560,6,ifa,+4408003687511,GU21 6HR,www.clarityglobal.com,4,1.0,41,100,48,multi_asset_cautious,40,Authorised,03466459,True,True,True,True
